doi,title,published_according_to_user_spreadsheet
10.1101/2020.05.26.20114124,Seroprevalence of SARS-CoV-2 among children visiting a hospital during the initial Seattle outbreak,FALSE
10.1101/2020.08.04.20167932,Viral cultures for COVID-19 infectivity assessment -a systematic review In: Analysis of the Transmission Dynamics of COVID-19: An Open Evidence Review,FALSE
10.1101/2020.05.10.20097543,Estimating the extent of true asymptomatic COVID-19 and its potential for community transmission: systematic review and meta-analysis,FALSE
10.1101/2020.04.22.20073551,"Relative disease burdens of COVID-19 and seasonal influenza in New York City, February 1 - April 18, 2020.",FALSE
10.1101/2020.08.07.20161737,"LamPORE: rapid, accurate and highly scalable molecular screening for SARS-CoV-2 infection, based on nanopore sequencing",FALSE
10.1101/2020.06.25.20140178,SARS-CoV-2 infection in primary schools in northern France: A retrospective cohort study in an area of high transmission Authors,FALSE
10.1101/2020.04.16.20066787,FALSE-NEGATIVE RESULTS OF INITIAL RT-PCR ASSAYS FOR COVID-19: A SYSTEMATIC REVIEW,FALSE
10.1101/2020.03.04.20031112,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,TRUE
10.1101/2020.06.09.20116806,Pre exposure Hydroxychloroquine use is associated with reduced COVID19 risk in healthcare workers,FALSE
10.1101/2020.04.01.20049528,Facemasks and similar barriers to prevent respiratory illness such as COVID-19: A rapid systematic review,FALSE
10.1101/2020.05.08.20094870,Estimating pre-symptomatic transmission of COVID-19: a secondary analysis using published data,FALSE
10.1101/2020.05.20.20108415,Underreporting of death by COVID-19 in Brazil's second most populous state,FALSE
10.1101/2020.04.14.20062463,"COVID-19 Antibody Seroprevalence in Santa Clara County, California",FALSE
10.1101/2020.04.16.20062141,The estimated impact of non-pharmaceutical interventions on documented cases of COVID-19: A cross-country analysis,FALSE
10.1101/2020.04.28.20083675,BRAZIL IS PROJECTED TO BE THE NEXT GLOBAL COVID-19 PANDEMIC EPICENTER,FALSE
10.1101/2020.05.04.20089995,Evidence of a significant secretory-IgA-dominant SARS-CoV-2 immune response in human milk following recovery from COVID-19,TRUE
10.1101/2020.07.20.20155945,"Seroprevalence of SARS-CoV-2 IgG Antibodies in Utsunomiya City, Greater Tokyo, after first pandemic in 2020 (U-CORONA): a household-and population-based study",FALSE
10.1101/2020.05.18.20105197,SARS-CoV-2 seroconversion in health care workers,FALSE
10.1101/2020.06.07.20124636,! ! ! Dynamics!of!IgG!seroconversion!and!pathophysiology!of! COVID:19!infections!,FALSE
10.1101/2020.07.29.20162917,Evidence favouring the efficacy of convalescent plasma for COVID-19 therapy,FALSE
10.1101/2020.06.21.20132449,Intrafamilial Exposure to SARS-CoV-2 Induces Cellular Immune Response without Seroconversion,FALSE
10.1101/2020.07.13.20153148,"Low SARS-CoV-2 sero-prevalence based on anonymized residual sero-survey before and after first wave measures in British Columbia, Canada, March-May 2020",FALSE
10.1101/2020.08.09.20171223,Markedly heterogeneous COVID-19 testing plans among US colleges and universities,FALSE
10.1101/2020.06.06.20124446,"Estimated Average Probabilities of COVID-19 Infection, Hospitalization, and Death From Community Contact in the United States",FALSE
10.1101/2020.06.08.20124834,Genomic epidemiology of SARS-CoV-2 spread in Scotland highlights the role of European travel in COVID-19 emergence,FALSE
10.1101/2020.05.08.20095893,Association of Vitamin D Deficiency and Treatment with COVID-19 Incidence,FALSE
10.1101/2020.02.11.20021493,Evaluating the accuracy of different respiratory specimens in the laboratory diagnosis and monitoring the viral shedding of 2019-nCoV infections,FALSE
10.1101/2020.04.11.20062133,Intervention strategies against COVID-19 and their estimated impact on Swedish healthcare capacity,FALSE
10.1101/2020.07.13.20041632,The Infectious Nature of Patient-Generated SARS-CoV-2 Aerosol,FALSE
10.1101/2020.08.18.20172874,"The Prognostic Value of Eosinophil Recovery in COVID-19: A Multicentre, Retrospective Cohort Study on Patients Hospitalised in Spanish Hospitals",FALSE
10.1101/2020.04.19.20054262,Pulmonary post-mortem findings in a large series of COVID-19 cases from Northern Italy,TRUE
10.1101/2020.06.08.20120584,SARS-CoV-2 virus and antibodies in front-line Health Care Workers in an acute hospital in London: preliminary results from a longitudinal study,FALSE
10.1101/2020.06.19.20135095,Observational Study of Metformin and Risk of Mortality in Persons Hospitalized with Covid-19,FALSE
10.1101/2020.05.01.20079376,Vitamin D deficiency as risk factor for severe COVID-19: a convergence of two pandemics,FALSE
10.1101/2020.04.27.20082362,Performance Characteristics of the Abbott Architect SARS-CoV-2 IgG Assay and Seroprevalence Testing in Idaho,TRUE
10.1101/2020.07.15.20151852,"Effect of Hydroxychloroquine in Hospitalized Patients with COVID-19: Preliminary results from a multi-centre, randomized, controlled trial",FALSE
10.1101/2020.07.29.20162701,Estimates of the rate of infection and asymptomatic COVID-19 disease in a population sample from SE England,TRUE
10.1101/2020.05.13.20101253,The infection fatality rate of COVID-19 inferred from seroprevalence data,FALSE
10.1101/2020.03.05.20031815,Estimating the generation interval for COVID-19 based on symptom onset data,FALSE
10.1101/2020.08.24.20180661,FLOW CYTOMETRY MULTIPLEXED METHOD FOR THE DETECTION OF NEUTRALIZING HUMAN ANTIBODIES TO THE NATIVE SARS-CoV-2 SPIKE PROTEIN,FALSE
10.1101/2020.07.23.20160820,"Clinical Impact, Costs, and Cost-Effectiveness of Expanded SARS-CoV-2 Testing in Massachusetts",FALSE
10.1101/2020.05.05.20092106,Impact of small-area lockdowns for the control of the COVID-19 pandemic,FALSE
10.1101/2020.05.01.20087965,Evidence Supports a Causal Model for Vitamin D in COVID-19 Outcomes,FALSE
10.1101/2020.03.03.20029843,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak: an observational and modelling study,FALSE
10.1101/2020.07.18.20155374,Dynamics and significance of the antibody response to SARS-CoV-2 infection,FALSE
10.1101/2020.05.31.20115154,Exhaled breath is a significant source of SARS-CoV-2 emission,FALSE
10.1101/2020.08.01.20166553,Evidence for sustained mucosal and systemic antibody responses to SARS-CoV-2 antigens in COVID-19 patients,FALSE
10.1101/2020.08.16.20035691,Full Title: COVID-19 ICU and mechanical ventilation patient characteristics and outcomes -A systematic review and meta-analysis Short Title: COVID-19 ICU and mechanical ventilation characteristics and outcomes,TRUE
10.1101/2020.08.11.20171843,Functional SARS-CoV-2-specific immune memory persists after mild COVID-19,FALSE
10.1101/2020.06.22.20136309,Surveillance testing of SARS-CoV-2,FALSE
10.1101/2020.07.15.20154112,Seroprevalence of SARS-CoV-2 antibodies in an entirely PCRsampled and quarantined community after a COVID-19 outbreak -the CoNAN study,FALSE
10.1101/2020.07.07.20148395,Disease severity-specific neutrophil signatures in blood transcriptomes stratify COVID-19 patients,FALSE
10.1101/2020.06.10.20127621,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,FALSE
10.1101/2020.06.24.20138768,Randomized Re-Opening of Training Facilities during the COVID-19 pandemic The TRAiN study group,FALSE
10.1101/2020.08.16.20175752,Hydroxychloroquine Safety Outcome within Approved Therapeutic Protocol for Covid-19 Outpatients in Saudi Arabia,FALSE
10.1101/2020.07.10.20150524,Community prevalence of SARS-CoV-2 virus in England during May 2020: REACT study,FALSE
10.1101/2020.06.10.20127514,Low rate of daily smokers in patients with symptomatic COVID-19,FALSE
10.1101/2020.04.30.20085613,Humoral immune response and prolonged PCR positivity in a cohort of 1343 SARS-CoV 2 patients in the New York City region,TRUE
10.1101/2020.04.01.20050542,Using ILI surveillance to estimate state-specific case detection rates and forecast SARS-CoV-2 spread in the United States,FALSE
10.1101/2020.02.12.20022327,Clinical diagnosis of 8274 samples with 2019-novel coronavirus in Wuhan,FALSE
10.1101/2020.05.02.20080036,Hydroxychloroquine and azithromycin plus zinc vs hydroxychloroquine and azithromycin alone: outcomes in hospitalized COVID-19 patients,TRUE
10.1101/2020.05.10.20096909,EXCESS MORTALITY FROM COVID-19. WEEKLY EXCESS DEATH RATES BY AGE AND SEX FOR SWEDEN,FALSE
10.1101/2020.08.03.20165233,Simply saliva: stability of SARS-CoV-2 detection negates the need for expensive collection devices,FALSE
10.1101/2020.08.11.20145086,Face Coverings and Respiratory Tract Droplet Dispersion,FALSE
10.1101/2020.05.22.20109793,Changes in premature birth rates during the Danish nationwide COVID-19 lockdown: a nationwide register-based prevalence proportion study,TRUE
10.1101/2020.07.16.20155119,Aerosol filtering efficiency of respiratory face masks used during the COVID-19 pandemic,FALSE
10.1101/2020.08.14.20158535,Impact of contact tracing on COVID-19 mortality: An impact evaluation using surveillance data from Colombia,FALSE
10.1101/2020.03.12.20034660,Impact assessment of non-pharmaceutical interventions against COVID-19 and influenza in Hong Kong: an observational study,TRUE
10.1101/2020.04.01.20050039,Perceptions and behavioural responses of the general public during the COVID-19 pandemic: A cross-sectional survey of UK Adults,FALSE
10.1101/2020.08.06.20169573,"Beneficial effects of colchicine for moderate to severe COVID-19: an interim analysis of a randomized, double-blinded, placebo controlled clinical trial",FALSE
10.1101/2020.05.15.20103531,IL6 inhibition in critically ill COVID-19 patients is associated with increased secondary infections,FALSE
10.1101/2020.06.16.20132597,"Hydroxychloroquine with or without azithromycin and in-hospital mortality or discharge in patients hospitalized for COVID-19 infection: a cohort study of 4,642 in-patients in France",FALSE
10.1101/2020.02.07.20021154,"The Novel Coronavirus, 2019-nCoV, is Highly Contagious and More Infectious Than Initially Estimated",TRUE
10.1101/2020.06.08.20125484,An analysis of SARS-CoV-2 viral load by patient age,FALSE
10.1101/2020.04.22.20072124,"Self-reported symptoms of covid-19 including symptoms most predictive of SARS-CoV-2 infection, are heritable",FALSE
10.1101/2020.05.24.20111823,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",FALSE
10.1101/2020.07.17.20155960,Observational Study of the Efficiency of Treatments in Patients Hospitalized with Covid-19 in Madrid,FALSE
10.1101/2020.03.25.20043679,Epidemiological Tools that Predict Partial Herd Immunity to SARS Coronavirus 2,FALSE
10.1101/2020.04.05.20051540,SARS-CoV-2 titers in wastewater are higher than expected from clinically confirmed cases,TRUE
10.1101/2020.04.24.20075838,Vitamin D insufficiency is prevalent in severe COVID-19,TRUE
10.1101/2020.05.04.20086322,Determinants of Severity in Cancer Patients with COVID-19 Illness,TRUE
10.1101/2020.02.12.20022467,The role of absolute humidity on transmission rates of the COVID-19 outbreak,FALSE
10.1101/2020.07.16.20155747,Barriers to online learning in the time of COVID-19: A national survey of medical students in the Philippines,FALSE
10.1101/2020.03.24.20042937,Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study,TRUE
10.1101/2020.08.05.20168930,Genomic epidemiology reveals transmission patterns and dynamics of SARS-CoV-2 in Aotearoa New Zealand,FALSE
10.1101/2020.06.23.20137596,Platelets can contain SARS-CoV-2 RNA and are hyperactivated in COVID-19,TRUE
10.1101/2020.05.01.20086801,Efficient prevalence estimation and infected sample identification with group testing for SARS-CoV-2,FALSE
10.1101/2020.05.19.20105999,SARS-CoV-2 RNA concentrations in primary municipal sewage sludge as a leading indicator of COVID-19 outbreak dynamics,FALSE
10.1101/2020.04.03.20052084,Quantifying the effect of quarantine control in Covid-19 infectious spread using machine learning,FALSE
10.1101/2020.07.09.20149351,Repeat SARS-CoV-2 Testing Models for Residential College Populations,TRUE
10.1101/2020.05.02.20084673,Disruption of the CCL5/RANTES-CCR5 Pathway Restores Immune Homeostasis and Reduces Plasma Viral Load in Critical COVID-19,FALSE
10.1101/2020.04.26.20079244,"Seroprevalence of COVID-19 virus infection in Guilan province, Iran",FALSE
10.1101/2020.05.26.20113787,COVID-Net: A deep learning based and interpretable predication model for the county-wise trajectories of COVID-19 in the United States,FALSE
10.1101/2020.06.19.20136093,Efficacy and safety of chloroquine or hydroxychloroquine in moderate type of COVID-19: a prospective open-label randomized controlled study,FALSE
10.1101/2020.07.21.20159178,SARS-CoV-2 infection induces sustained humoral immune responses in convalescent patients following symptomatic COVID-19,TRUE
10.1101/2020.03.09.20032896,First 12 patients with coronavirus disease 2019 (COVID-19) in the United States,FALSE
10.1101/2020.06.23.20138289,Longitudinal immunological analyses reveal inflammatory misfiring in severe COVID-19 patients,TRUE
10.1101/2020.08.10.20172288,Effectiveness of booster BCG vaccination in preventing Covid-19 infection,FALSE
10.1101/2020.07.20.20157651,A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease,FALSE
10.1101/2020.07.16.20150250,A community-deployable SARS-CoV-2 screening test using raw saliva with 45 minutes sample-to-results turnaround,FALSE
10.1101/2020.04.15.20066050,"Basic estimation-prediction techniques for Covid-19, and a prediction for Stockholm",FALSE
10.1101/2020.06.20.20130476,"Characterizing super-spreading events and age-specific infectivity of COVID-19 transmission in Georgia, USA",TRUE
10.1101/2020.05.11.20098780,Estimating the Global Infection Fatality Rate of COVID-19,FALSE
10.1101/2020.05.06.20092841,"Modeling the impact of social distancing, testing, contact tracing and household quarantine on second-wave scenarios of the COVID-19 epidemic",FALSE
10.1101/2020.08.21.20178574,SARS-CoV-2 infection and transmission in educational settings: cross-sectional analysis of clusters and outbreaks in England,FALSE
10.1101/2020.07.28.20164004,SARS-CoV-2 detection with de novo designed synthetic riboregulators,FALSE
10.1101/2020.07.13.20153049,Mechanistic Transmission Modeling of COVID-19 on the Diamond Princess Cruise Ship Demonstrates the Importance of Aerosol Transmission,FALSE
10.1101/2020.05.28.20114835,Viral Dynamics Matter in COVID-19 Pneumonia: the success of early treatment with hydroxychloroquine and azithromycin in Lebanon.,FALSE
10.1101/2020.05.10.20097394,"Outbreak of Kawasaki disease in children during COVID-19 pandemic: a prospective observational study in Paris, France",TRUE
10.1101/2020.07.08.20148775,"Air recirculation role in the infection with COVID-19, lessons learned from Diamond Princess cruise ship",FALSE
10.1101/2020.07.15.20154518,Viral load of SARS-CoV-2 across patients and compared to other respiratory viruses,TRUE
10.1101/2020.06.26.20141085,"Identification of SARS-CoV-2 RNA in Healthcare Heating, Ventilation, and Air Conditioning Units",FALSE
10.1101/2020.05.21.20109389,COVID-19 Confirmed Case Incidence Age Shift to Young Persons Age 0-19 and 20-39 Years Over Time: Washington State March -April 2020,FALSE
10.1101/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,FALSE
10.1101/2020.04.12.20062679,Time course quantitative detection of SARS-CoV-2 in Parisian wastewaters correlates with COVID-19 confirmed cases,FALSE
10.1101/2020.02.10.20021675,Epidemiological and clinical features of the 2019 novel coronavirus outbreak in China,FALSE
10.1101/2020.02.12.20022418,ACE2 Expression in Kidney and Testis May Cause Kidney and Testis Damage After 2019-nCoV Infection,FALSE
10.1101/2020.06.01.20100461,"Determining the optimal strategy for reopening schools, work and society in the UK: balancing earlier opening and the impact of test and trace strategies with the risk of occurrence of a secondary COVID-19 pandemic wave",TRUE
10.1101/2020.08.19.20177188,Transmission dynamics of COVID-19 in household and community settings in the United Kingdom,FALSE
10.1101/2020.04.14.20060160,Patient-derived mutations impact pathogenicity of SARS-CoV-2,FALSE
10.1101/2020.07.13.20152819,Work-related and Personal Predictors of COVID-19 Transmission,FALSE
10.1101/2020.04.27.20081893,Individual variation in susceptibility or exposure to SARS-CoV-2 lowers the herd immunity threshold,FALSE
10.1101/2020.04.25.20079103,The role of asymptomatic SARS-CoV-2 infections: rapid living systematic review and meta-analysis,FALSE
10.1101/2020.07.14.20151126,"SARS-CoV-2 infection induces robust, neutralizing antibody responses that are stable for at least three months",TRUE
10.1101/2020.02.28.20029272,Closed environments facilitate secondary transmission of coronavirus disease 2019,FALSE
10.1101/2020.06.26.20140731,"SARS-CoV-2 in human sewage in Santa Catalina, Brazil, November 2019",FALSE
10.1101/2020.04.24.20078717,Full lockdown policies in Western Europe countries have no evident impacts on the COVID-19 epidemic,FALSE
10.1101/2020.07.31.20161216,"Immunogenicity and Safety of a SARS-CoV-2 Inactivated Vaccine in Healthy Adults Aged 18-59 years: Report of the Randomized, Double-blind, and Placebo-controlled Phase 2 Clinical Trial",FALSE
10.1101/2020.08.07.20170555,Compound risks of hurricane evacuation amid the COVID-19 pandemic in the United States,FALSE
10.1101/2020.04.26.20079822,"Seroprevalence of novel coronavirus disease (COVID-19) in Kobe, Japan",FALSE
10.1101/2020.07.11.20147157,Effects of environmental factors on severity and mortality of COVID-19,FALSE
10.1101/2020.05.11.20086439,Human coronavirus reinfection dynamics: lessons for SARS-CoV-2,TRUE
10.1101/2020.07.14.20153320,Clinical characteristics of children and young people hospitalised with covid-19 in the United Kingdom: prospective multicentre observational cohort study,TRUE
10.1101/2020.04.12.20059618,COVID-19 outbreak at a large homeless shelter in Boston: Implications for universal testing,FALSE
10.1101/2020.05.08.20095943,"Epidemiological, socio-demographic and clinical features of the early phase of the COVID-19 epidemic in Ecuador",FALSE
10.1101/2020.05.21.20109652,"COVID-19 receptor ACE2 is expressed in human conjunctival tissue, expecially in diseased conjunctival",FALSE
10.1101/2020.05.18.20099960,Pathophysiology of SARS-CoV-2: targeting of endothelial cells renders a complex disease with thrombotic microangiopathy and aberrant immune response. The Mount Sinai COVID-19 autopsy experience,FALSE
10.1101/2020.06.30.20142570,Phase 1/2 Study to Describe the Safety and Immunogenicity of a COVID-19 RNA Vaccine Candidate (BNT162b1) in Adults 18 to 55 Years of Age: Interim Report,TRUE
10.1101/2020.07.03.20145797,Dengue antibodies can cross-react with SARS-CoV-2 and vice versa-Antibody detection kits can give false-positive results for both viruses in regions where both COVID-19 and Dengue co-exist,FALSE
10.1101/2020.08.13.20173161,Neutralizing antibodies correlate with protection from SARS-CoV-2 in humans during a fishery vessel outbreak with high attack rate,TRUE
10.1101/2020.07.24.20149815,Systematic evaluation and external validation of 22 prognostic models among hospitalised adults with COVID-19: An observational cohort study Authors,TRUE
10.1101/2020.07.19.20157362,"On the effect of age on the transmission of SARS-CoV-2 in households, schools and the community",TRUE
10.1101/2020.08.12.20173526,Patient outcomes after hospitalisation with COVID-19 and implications for follow-up; results from a prospective UK cohort,FALSE
10.1101/2020.05.03.20089854,A systematic review and meta-analysis of published research data on COVID-19 infection-fatality rates,TRUE
10.1101/2020.05.15.20103655,Differential Effects of Intervention Timing on COVID-19 Spread in the United States,FALSE
10.1101/2020.04.13.20063669,Smoking is Associated with COVID-19 Progression: A Meta-Analysis,FALSE
10.1101/2020.05.07.20083386,"Decreased Stroke, Acute Coronary Syndrome, and Corresponding Interventions at 65 US Hospitals Following COVID-19",FALSE
10.1101/2020.06.30.20143586,Does Lockdown Decrease the Protective Role of Ultraviolet-B (UVB) Radiation in Reducing COVID-19 Deaths? Manuscript 15. June. 2020,FALSE
10.1101/2020.04.14.20065771,"A systematic review of antibody mediated immunity to coronaviruses: antibody kinetics, correlates of protection, and association of antibody responses with severity of disease",TRUE
10.1101/2020.08.03.20167791,SalivaDirect: Simple and sensitive molecular diagnostic test for SARS-CoV-2 surveillance,FALSE
10.1101/2020.04.10.20053207,"Homologous protein domains in SARS-CoV-2 and measles, mumps and rubella viruses: preliminary evidence that MMR vaccine might provide protection against COVID-19",FALSE
10.1101/2020.04.02.20047050,The QT Interval in Patients with SARS-CoV-2 Infection Treated with Hydroxychloroquine/Azithromycin,FALSE
10.1101/2020.08.14.20175190,"Bidirectional associations between COVID-19 and psychiatric disorder: a study of 62,354 COVID-19 cases",FALSE
10.1101/2020.04.11.20061473,Title: An experimental trial of recombinant human interferon alpha nasal drops to prevent coronavirus disease 2019 in medical staff in an epidemic area,FALSE
10.1101/2020.05.28.20116129,The effectiveness and perceived burden of nonpharmaceutical interventions against COVID-19 transmission: a modelling study with 41 countries,FALSE
10.1101/2020.06.18.20134858,"Practical considerations for measuring the effective reproductive number, R t",FALSE
10.1101/2020.03.24.20042291,Fundamental principles of epidemic spread highlight the immediate need for large-scale serological surveys to assess the stage of the SARS-CoV-2 epidemic,FALSE
10.1101/2020.05.30.20111393,Antibody profiling of COVID-19 patients in an urban low-incidence region in Northern Germany,TRUE
10.1101/2020.04.17.20061440,Presence of SARS-CoV-2-reactive T cells in COVID-19 patients and healthy donors,TRUE
10.1101/2020.07.07.20145979,Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management (Pilot Trial),FALSE
10.1101/2020.04.10.20060699,No evidence of clinical efficacy of hydroxychloroquine in patients hospitalised for COVID-19 infection and requiring oxygen: results of a study using routinely collected data to emulate a target trial,FALSE
10.1101/2020.05.20.20108126,Susceptibility to SARS-CoV-2 infection amongst children and adolescents compared with adults: a systematic review and meta-analysis,TRUE
10.1101/2020.08.10.20171413,"High prevalence of SARS-CoV-2 antibodies in care homes affected by COVID-19; prospective cohort study, England",TRUE
10.1101/2020.06.05.20123463,UV#C%irradiation%is%highly%effective%in%inactivating%and%inhibiting%SARS#CoV#2%replication%%,FALSE
10.1101/2020.04.29.20085449,Preliminary Results of Seroprevalence of SARS-CoV-2 at Community Clinics in Tokyo,FALSE
10.1101/2020.03.03.20028423,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",TRUE
10.1101/2020.08.23.20178236,Phylogenetic analysis of SARS-CoV-2 in the Boston area highlights the role of recurrent importation and superspreading events,FALSE
10.1101/2020.07.28.20163618,Unemployment insurance and food insecurity among people who lost employment in the wake of COVID-19,FALSE
10.1101/2020.07.01.20139857,Convalescent Plasma for COVID-19. A randomized clinical trial,FALSE
10.1101/2020.06.01.20112334,"A cohort study to evaluate the effect of combination Vitamin D, Magnesium and Vitamin B12 (DMB) on progression to severe outcome in older COVID-19 patients",TRUE
10.1101/2020.06.01.20119040,Factors associated with adherence to selfisolation and lockdown measures in the UK; a cross-sectional survey,TRUE
10.1101/2020.07.10.20150656,Diagnostic value of skin manifestation of SARS-CoV-2 infection,FALSE
10.1101/2020.04.25.20074856,Test performance evaluation of SARS-CoV-2 serological assays Author Names and Affiliations,FALSE
10.1101/2020.07.31.20166082,Evaluating the effects of SARS-CoV-2 Spike mutation D614G on transmissibility and pathogenicity,FALSE
10.1101/2020.04.04.20053058,Running head: Indoor transmission of SARS-Cov-2 Indoor transmission of SARS-CoV-2,FALSE
10.1101/2020.04.16.20060566,Delayed clearance of SARS-CoV2 in male compared to female patients: High ACE2 expression in testes suggests possible existence of gender-specific viral reservoirs,FALSE
10.1101/2020.07.09.20148429,Longitudinal evaluation and decline of antibody responses in SARS-CoV-2 infection,TRUE
10.1101/2020.06.03.20121145,"The role of children in the spread of COVID-19: Using household data from Bnei Brak, Israel, to estimate the relative susceptibility and infectivity of children",FALSE
10.1101/2020.04.05.20053355,Estimating false-negative detection rate of SARS-CoV-2 by RT-PCR,FALSE
10.1101/2020.04.01.20049478,Differential COVID-19-attributable mortality and BCG vaccine use in countries,FALSE
10.1101/2020.06.02.20120014,Article Summary Line: High nasopharyngeal viral load around the onset may contributes to secondary transmission of COVID-19,FALSE
10.1101/2020.08.10.20172189,Janus Kinase-Inhibitor and Type I Interferon Ability to Produce Favorable Clinical Outcomes in COVID-19 Patients: A Systematic Review and Meta-Analysis,FALSE
